review_id,video_id,flag_id,is_reviewed,reviewed_date,review_outcome
1c9SCnOG,9f3806f7-1fcb-433d-8c77-f053a5d1378b,c9SCnOG,Yes,8/15/2023,Bad
2GJS24c5,4c7eb8c7-41dd-4429-9b13-e9311759bf0b,GJS24c5,No,8/14/2023,Good
3AN3ysvU,4575f3c4-26ba-4487-a40e-89a7fa684120,cmelYM6,Yes,7/25/2023,Average
iW4kr5Ql,c9473e90-b1c5-4a8d-a589-a0ebaa827271,yVN66vF,Yes,08/07/23,Average
fPJS479I,8fb560c9-5e10-49e0-94a2-9449fd91bf79,cmelYM6,No,08/10/23,Average
xL62HhJa,5ff61734-50ec-4551-bf6c-a0c2f7a80930,PaOJ5H1,Yes,8/19/2023,Bad
f96GTlnF,8426fa33-f1ee-4304-b429-66bdb693c85c,c9SCnOG,No,08/01/23,Average
cqf7ZYSx,af60f758-44e4-4d77-bd69-44962deb77e0,GJS24c5,Yes,08/02/23,Average
vW8GufUE,ae41eb07-0721-4783-9296-7c66b9ba467c,AN3ysvU,Yes,8/17/2023,Average
PaO9J5H1,df6b39b9-3021-43a3-bdc1-89687b4174b0,PaOJ5H1,No,7/26/2023,Good
ed2hLERE,71505c13-f5b5-4551-9b47-8e4efb5a6732,cmelYM6,No,08/02/23,Average
3AzxPUoP,9b17b234-2cc1-4a74-9702-acb71d884367,AzxPUoP,Yes,7/23/2023,Good
u4maiugB,63927413-ebc5-410c-be1b-e7a6e4d1239a,umaiugB,Yes,8/19/2023,Bad
xo622ENCe,3b3633b8-9e9f-49c9-87b9-c144de7ae1e5,xo6ENCe,Yes,08/02/23,Bad
sle12WZ0Y,83aba77c-8654-4cf3-85fc-d17aa3044670,PaOJ5H1,Yes,7/29/2023,Bad
8813qvxY,b131a316-d651-4257-a002-99ea41e98220,edhLERE,Yes,08/09/23,Average
jH67Aa9Go,bc4b086c-51ff-45df-bf5d-8a382fe9c391,PaOJ5H1,Yes,8/14/2023,Average
N1QQ7kABg,d4b803fd-6157-4f4b-a7cf-e030b2eecfd3,N17kABg,Yes,8/16/2023,Good
AByVN66vF,a723ff6e-b296-451e-8fa0-3e66e74a4ce3,yVN66vF,No,8/18/2023,Bad
acmelYM6,bc4b086c-51ff-45df-bf5d-8a382fe9c391,cmelYM6,No,7/31/2023,Average
